sentiment,review_body,product_category
-1,I loved this shirt when it first arrived and i couldn't wait to wear it. after one day of wear  i went to hang the shirt back up and it was ripping on both sides of the middle back seem. this shirt was not tight on me at all. very disappointed.,Blouses
-1,So  i want to start off by saying  the quality of this shirt really was great. as was the pattern  unfortunately if you're going off the picture know that they definitely pinned in the sides on the model. this shirt has a full on triangle shape and flares significantly towards the bottom  it's not a straight fit as the picture would suggest. i'm sure this works for some women but if you're muscular with an already v-shape to your body (meaning your shoulders are significantly sized and you have,Blouses
-1,I should have paid closer attention to the other reviews. i could barely get this blouse over my head! after getting it on  the armholes too are very small. the blouse other than that is pretty and very girlie. i love the pleating and dolman sleeves but i was strangled around my neck. i tried the small but think a medium wouldn't have been much better. it needs a button opening on neck and sleeves. i would have to put this on before makeup or doing my hair.   if you have a tiny head and pencil a,Blouses
-1,"In paper crown dresses  i wear a small or size 6  so for this top  i ordered a small. it was huge on me! for reference  i'm 5'7""  130 lbs  34a. it is very wide towards the bottom  and it flares out way more than in the picture. the material is also a little stiff  so it really sticks out. even if i sized down to the xs  i think the bottom would still look unflattering  so i'm returning this.",Blouses
-1,Really cute piece  but it's huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.,Blouses
-1,This is a great top but it is really big. i have a similar top from the same brand and the size small fits as expected. this top is easily 2 inches wider everywhere. i would love to exchange it for an extra small  but am afraid that even that size would be too large. the blue pattern is beautiful and the fabric is light and airy  which is perfect for warm days  but the size issue is out of control!,Blouses
-1,Beautifully made shirt however the sizing is way off. the sleeves and across the chest are really tight while the rest of the shirt fits fine. if you get a size larger then the shirt in the body is to large. would recommend if you have really tiny shoulders  arms and chest. such a shame since i really love the shirt.,Blouses
-1,This shirt has absolutely no shape. look carefully at the model and you we discover she is cleverly positioned to hide the sheer boxy-ness of this shirt. the print is beautiful but it looks like a maternity shirt. i even ordered the xs at 5'7 and 130 lbs but found it too baggy. returned.,Blouses
-1,"The shirt is absolutely cute looking. but that's just that....looks. i'm 5'2"" size 6 & wears m to l top. i tried on the medium in the store  it was rather flowing. i liked it. but i didn't like how it fit on the underarm area. it hung very low. so i ordered a petite m. still the same. plus the store the lighting was dark so i didn't realize how see through the shirt was too. had to return it.",Blouses
0,Bought this in the white. i found it to run narrow in the shoulders and tight in the biceps. i typically vacillate between a m and l  and because of the two aforementioned factors i went with the large  which means overall the shirt is very billowy on me in the chest area and hangs very long. ---------- the fabric is soft  and the weight of this shirt is season-less; always a plus. it is not sheer by any means  but if you have a tattoo (like i do) you will be able to see it. --------- quality is,Blouses
